STRUCTURE,STRUCTURE_ID,freq,unit,wsta_acc,age,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,INJ020,EU_V,1999,15.8,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,INJ030,EU_V,1999,4.7,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,INJ040,EU_V,1999,13.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,INJ060,EU_V,1999,1.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,INJ072,EU_V,1999,0.8,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,OTH,EU_V,1999,5.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,POIS_ASP,EU_V,1999,2.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,TOTAL,EU_V,1999,4.9,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,UNK,EU_V,1999,1.5,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,CONT_BRU,EU_V,1999,0.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,CUT_LACE,EU_V,1999,0.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,INJ020,EU_V,1999,1.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,INJ030,EU_V,1999,0.6,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,INJ040,EU_V,1999,1.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,INJ060,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,INJ072,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,OTH,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,POIS_ASP,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,TOTAL,EU_V,1999,0.5,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y15-24,UNK,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,CONT_BRU,EU_V,1999,1.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,CUT_LACE,EU_V,1999,0.7,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,INJ020,EU_V,1999,4.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,INJ030,EU_V,1999,0.9,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,INJ040,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,INJ060,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,INJ072,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,OTH,EU_V,1999,1.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,POIS_ASP,EU_V,1999,2.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,TOTAL,EU_V,1999,1.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y25-34,UNK,EU_V,1999,0.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,CONT_BRU,EU_V,1999,0.9,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,CUT_LACE,EU_V,1999,0.6,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,INJ020,EU_V,1999,3.8,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,INJ030,EU_V,1999,1.7,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,INJ040,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,INJ060,EU_V,1999,0.7,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,INJ072,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,OTH,EU_V,1999,1.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,POIS_ASP,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,TOTAL,EU_V,1999,1.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y35-44,UNK,EU_V,1999,0.3,
