STRUCTURE,STRUCTURE_ID,freq,sex,age,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,AT,2007,7.3,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,AT,2013,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,AT,2020,,bu
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,BE,2007,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,BE,2013,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,BE,2020,,bu
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,BG,2007,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,BG,2013,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,BG,2020,,bu
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,CH,2013,8.2,
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,CH,2020,6.6,b
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,CY,2007,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,CY,2013,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,CY,2020,,bu
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,CZ,2007,,du
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,CZ,2013,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,CZ,2020,,bu
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,DE,2007,,du
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,DE,2020,,bu
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,DK,2007,5.0,
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,DK,2013,3.6,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,DK,2020,,bu
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,EA19,2007,3.0,d
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,EA19,2013,3.0,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,EA19,2020,1.7,bu
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,EE,2007,,du
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,EE,2013,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,EE,2020,,bu
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,EL,2007,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,EL,2013,,u
dataflow,ESTAT:HSW_AC1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP_M12,EL,2020,,bu
