STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2264,PC,MT,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2264,PC,PL,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2264,PC,RO,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2264,PC,SI,2008,13.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2264,PC,SK,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2264,PC,TR,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,AT,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,BE,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,BG,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,CY,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,CZ,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,EL,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,ES,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,FR,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,HU,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,LV,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,MT,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,PL,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,SI,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,SK,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2634,PC,TR,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,AT,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,BE,2008,16.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,BG,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,CY,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,CZ,2008,11.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,EL,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,ES,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,FR,2008,18.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,HU,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,LV,2008,6.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,MT,2008,9.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,PL,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,RO,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,SI,2008,14.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,SK,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2264,PC,TR,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,AT,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,BE,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,BG,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,CY,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,CZ,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,EL,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,ES,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,FR,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,HU,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,LV,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,MT,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,PL,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,SI,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,SK,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,T,OC2634,PC,TR,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,AT,2008,12.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,BE,2008,20.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,BG,2008,5.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2264,PC,CY,2008,5.2,
